Reason_1,Reason_2,Reason_3,Reason_4,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours,Day_of_week
False,False,False,True,289,36,33,239.554,30,0,2,1,4,1
False,False,False,False,118,13,50,239.554,31,0,1,0,0,1
False,False,False,True,179,51,38,239.554,31,0,0,0,2,2
True,False,False,False,279,5,39,239.554,24,0,2,0,4,3
False,False,False,True,289,36,33,239.554,30,0,2,1,2,3
False,False,False,True,179,51,38,239.554,31,0,0,0,2,4
False,False,False,True,361,52,28,239.554,27,0,1,4,8,4
False,False,False,True,260,50,36,239.554,23,0,4,0,4,4
False,False,True,False,155,12,34,239.554,25,0,2,0,40,0
False,False,False,True,235,11,37,239.554,29,1,1,1,8,0
True,False,False,False,260,50,36,239.554,23,0,4,0,8,0
True,False,False,False,260,50,36,239.554,23,0,4,0,8,1
True,False,False,False,260,50,36,239.554,23,0,4,0,8,2
True,False,False,False,179,51,38,239.554,31,0,0,0,1,2
False,False,False,True,179,51,38,239.554,31,0,0,0,4,2
True,False,False,False,246,25,41,239.554,23,0,0,0,8,4
False,False,False,True,179,51,38,239.554,31,0,0,0,2,4
False,False,True,False,179,51,38,239.554,31,0,0,0,8,0
True,False,False,False,189,29,33,239.554,25,0,2,2,8,3
False,False,False,True,248,25,47,205.917,32,0,2,1,2,2
True,False,False,False,330,16,28,205.917,25,1,0,0,8,2
True,False,False,False,179,51,38,205.917,31,0,0,0,1,0
True,False,False,False,361,52,28,205.917,27,0,1,4,40,0
False,False,False,True,260,50,36,205.917,23,0,4,0,4,4
False,False,True,False,289,36,33,205.917,30,0,2,1,8,0
False,False,False,True,361,52,28,205.917,27,0,1,4,7,0
False,False,False,True,289,36,33,205.917,30,0,2,1,1,1
False,False,False,True,157,27,29,205.917,22,0,0,0,4,2
False,False,True,False,289,36,33,205.917,30,0,2,1,8,2
False,False,False,True,179,51,38,205.917,31,0,0,0,2,4
False,False,True,False,179,51,38,205.917,31,0,0,0,8,0
